ticker,start_date,end_date
EXE,2024-11-01,2025-04-01
EXEL,2018-08-01,
EXH,2012-12-01,2013-12-01
EXLS,2022-11-01,
EXP,2013-12-01,
EXPO,2023-04-01,
EXR,2013-12-01,2017-01-01
FAF,2012-12-01,
FBHS,2013-12-01,2017-01-01
FBIN,2023-01-01,
FCFS,2019-11-01,
FCN,2012-12-01,2017-09-01
FCN,2020-11-01,
FCS,2012-12-01,2017-01-01
FDS,2012-12-01,2022-01-01
FEIC,2015-06-01,2017-01-01
FFIN,2019-10-01,
FHI,2020-09-01,2020-11-01
FHI,2021-02-01,
FHN,2013-12-01,
FICO,2012-12-01,2023-04-01
FII,2013-12-01,2020-09-01
FII,2020-11-01,2021-02-01
FIVE,2018-06-01,
FIX,2024-01-01,2026-02-01
FL,2012-12-01,2017-01-01
FL,2019-10-01,2023-11-01
FLEX,2024-12-01,2026-07-01
FLG,2025-02-01,
FLO,2012-12-01,2026-06-01
FLR,2019-10-01,
FLS,2021-04-01,
FMER,2012-12-01,2017-01-01
FN,2024-10-01,
FNB,2017-01-01,
FND,2023-11-01,
FNF,2012-12-01,2015-06-01
FNF,2023-11-01,
FNFG,2012-12-01,2016-09-01
FOSL,2012-12-01,2013-12-01
FOSL,2017-01-01,2017-04-01
FOUR,2024-12-01,
FOXF,2021-03-01,2024-05-01
FR,2017-01-01,
FRT,2012-12-01,2017-01-01
FSLR,2017-04-01,2023-01-01
FST,2012-12-01,2013-12-01
FTI,2025-10-01,
FTNT,2015-06-01,2018-11-01
FTO,2012-12-01,2013-12-01
FTR,2017-04-01,2018-01-01
FULT,2012-12-01,2023-07-01
FYBR,2022-11-01,2026-02-01
G,2021-07-01,
GAP,2024-09-01,
GAS,2013-02-01,2013-09-01
GATX,2017-01-01,
GBCI,2021-01-01,
GDDY,2023-11-01,2024-07-01
GDI,2012-12-01,2013-12-01
GDOT,2019-10-01,2020-12-01
GEF,2012-12-01,
GEO,2017-04-01,2021-01-01
GES,2012-12-01,2017-01-01
GGG,2012-12-01,
GHC,2015-06-01,
